author,comment,likes,published_at
@RizkyPratama-j1u,"RAKYAT MISKIN DI INDONESIA 
90 PERSEN....AKIBAT DIKORUPSI ASN.DPR.TNI.POLRI.DPRD.DPR.BUPATI GUBERNUR",0,2025-05-12T12:22:44Z
@masturmeot8797,"Gw ikut tuh..  gw percaya Sam altman orang baik menglotorkan dana 30 triliun dgn cuma2...  
Orang indonesia yang katanya hartanya triliunan malah sering nyushin...
Pejabatnya malah sering poya poaya didepan orang susah.
 apalagi sekarang pajak naik 12% gw beli ayam goreng distasiun harganya 15rb ko jadi 16,5rb katanya ama pajak.. kalo dikali 1jt orang berpa..
Makanya gw lebih percaya Sam altman...  30 T tampa embel2..",0,2025-05-12T08:46:44Z
@JimmyWijaya-v3p,"Lebay gak berkwalitas berita rendah 
Tempat usaha hiburan malam sedia fasilitas narkoba milik Tiongkok sudah tdk ada lg di DKI Jakarta bila ada maka jendral yg bertugas di wilayah tersebut siap di ambil kornea mata karna tdk bisa melihat adanya peredaran narkoba yg sudah puluhan tahun beroperasi 😂😂😂",0,2025-05-11T21:25:29Z
@Neon77Jep,Metro tv mau bangkrut  mau minta jatah sm world 😅,0,2025-05-10T11:01:10Z
@Anoy-q3s,Indonesia Emas 🤣🤣🤣,0,2025-05-10T09:48:45Z
@lailaalendes8106,Siapa atau apa bukti yang dapat menjamin bahwa data retina mata itu akan di hapus oleh pihak perusahaan tersebut ? sedangkan orang awam mayoritas tidak memahami tentang system yg mereka buat n mereka gunakan (bertanya dengan nada lembut karena tidak faham jg),0,2025-05-09T13:49:54Z
@koteng306,Knapa stelah viral dibekukan bukan pas mau buka gimna ni pejabat kominfo parah,0,2025-05-09T06:03:23Z
@vicensiaintan.pradipta,Ingin sekali mencela negara ini....saya sampai saat ini hidup susah....nyari kerja susah....,0,2025-05-09T01:41:16Z
@ahmadfaisal2542,"Pemerintah kita itu BUTA Teknologi.
🤣🤣🤣",0,2025-05-07T13:36:04Z
@maulida610,"See., demi duit, jual diri jual data jual suara., konoha emang kera🐒s 😢 yg penting bisa makan gitu kan konsepnya., sanking miskinnya.,",0,2025-05-07T10:26:51Z
@gajahsaktiputranganjuk8329,"Habis ini data pribadi kebobolan pada nangis,,,,,,,",0,2025-05-07T09:14:10Z
@Ahmad.rrzinn,Udah kaya di film2 fiksi holywod,0,2025-05-07T06:04:38Z
@FaujiAbdillah,"Bukti REZIM cuma mikirin MBG yg GAK GUNA,,,!!!

Logikanya,masa mereka bisa smpe sewa kantor klo blm dpet ijin,,,palagi klao cuma soal ijin yg UUD,,,ujung2nya DUIT!!!

Kaya Negara gak ngejual Data Rakyatnya aja,banyak kejadian kan data bocor,,,, buat Pinjol utamanya,,,",0,2025-05-07T06:00:53Z
@aguzvianzyah8756,semua gara2 mulyono,0,2025-05-07T04:43:03Z
@thewijayarefi,World buka di kalimantan dong,0,2025-05-07T04:00:07Z
@yodianto,di pemerintahan aja sdmnya begini😂,0,2025-05-07T03:59:44Z
