steming_data,Score,Sentiment
rakyat miskin indonesia persenakibat korupsi asndprtnipolridprddprbupati gubernur,-2,Negatif
gue tuh gue percaya altman orang menglotorkan dana triliun orang indonesia harta triliun nyushin jabat poya poaya depan orang susah pajak gue beli ayam goreng stasiun harga ribu ribu pajak kali juta orang berpa gue percaya altman t tampa embel,1,Positif
lebay berkwalitas berita rendah usaha hibur malam sedia fasilitas narkoba milik tiongkok dki jakarta jenderal tugas wilayah ambil kornea mata edar narkoba puluh operasi,-3,Negatif
metro tv bangkrut jatah world,-1,Negatif
indonesia emas,0,Netral
bukti jamin data retina mata hapus usaha orang awam mayoritas paham system n nada lembut faham,-4,Negatif
knapa viral beku pas buka nih jabat kominfo parah,-1,Negatif
cela negara inisaya hidup susahnyari kerja susah,-1,Negatif
perintah buta teknologi,-1,Negatif
sih duit jual jual data jual suara konoha keras makan konsep sanking miskin,1,Positif
habis data pribadi bobol menang,-2,Negatif
kayak film fiksi holywod,-1,Negatif
bukti rezim pikir mbak logikanyamasa sewa kantor dpet ijinpalagi klao ijin uudujungnya duit kayak negara ngejual data rakyat ajabanyak jadi data bocor pinjol utama,-5,Negatif
gara mulyono,-1,Negatif
world buka kalimantan,0,Netral
perintah sdmnya,0,Netral
yuk ramai pindai retina mata,0,Netral
woiii mining data retina mahal itukalo jual,1,Positif
hapus no freelunch dibodohin,-1,Negatif
mudah meta indonesia gara jual data,-1,Negatif
iya cermin pimpin bangsa jabat rela sikut sikut korupsi besarbesaran menyalahgunakan wewenang ya rakyat jelata wajar rupiah rela serah data retina memang jamin duduk indonesia,-2,Negatif
potret miskin rela jual data porensik jual mata,-1,Negatif
gratis dunia imbal diambilitu logika,2,Positif
banyak omon omon orang kayak jabat scan retina negara aplikasi larang perintah negara bodoh sedia payung hujan pakai payung basah hujan deres,-2,Negatif
tolol perintah usaha november kemarin masalah tutup mata perintah polisi banyk scan mata situ,-5,Negatif
indonesia ambang hancur ekonomi miskin pejabatny hobi korupsi bahkn pajak,-3,Negatif
data retina,-1,Negatif
inti data diri retas halus nama kasih uang gratis negara boleh ya iming uang,0,Netral
lapang pekerjan susah,0,Netral
bukti nyata ekonomi roket lapang kerja limpah anggur nihil orang miskin masyarakat sejahtera usaha aplikasi bagi uang instan,-2,Negatif
negara barat kecam larang aman privacy salah orang duit main crypto murah banget data retina jual ribu penting orangorang duit,-1,Negatif
pantesan sdm rendah iq ya perintah bikin rakyat bodoh bukti rakyat indonesia gampang kibul,-2,Negatif
minat main abang,1,Positif
