comment,cleaning,case_folding,normalisasi,tokenize,stopword removal,steming_data
"RAKYAT MISKIN DI INDONESIA 
90 PERSEN....AKIBAT DIKORUPSI ASN.DPR.TNI.POLRI.DPRD.DPR.BUPATI GUBERNUR","RAKYAT MISKIN DI INDONESIA 
 PERSENAKIBAT DIKORUPSI ASNDPRTNIPOLRIDPRDDPRBUPATI GUBERNUR","rakyat miskin di indonesia 
 persenakibat dikorupsi asndprtnipolridprddprbupati gubernur",rakyat miskin di indonesia persenakibat dikorupsi asndprtnipolridprddprbupati gubernur,"['rakyat', 'miskin', 'di', 'indonesia', 'persenakibat', 'dikorupsi', 'asndprtnipolridprddprbupati', 'gubernur']","['rakyat', 'miskin', 'indonesia', 'persenakibat', 'dikorupsi', 'asndprtnipolridprddprbupati', 'gubernur']",rakyat miskin indonesia persenakibat korupsi asndprtnipolridprddprbupati gubernur
"Gw ikut tuh..  gw percaya Sam altman orang baik menglotorkan dana 30 triliun dgn cuma2...  
Orang indonesia yang katanya hartanya triliunan malah sering nyushin...
Pejabatnya malah sering poya poaya didepan orang susah.
 apalagi sekarang pajak naik 12% gw beli ayam goreng distasiun harganya 15rb ko jadi 16,5rb katanya ama pajak.. kalo dikali 1jt orang berpa..
Makanya gw lebih percaya Sam altman...  30 T tampa embel2..","Gw ikut tuh  gw percaya Sam altman orang baik menglotorkan dana  triliun dgn cuma  
Orang indonesia yang katanya hartanya triliunan malah sering nyushin
Pejabatnya malah sering poya poaya didepan orang susah
 apalagi sekarang pajak naik  gw beli ayam goreng distasiun harganya rb ko jadi rb katanya ama pajak kalo dikali jt orang berpa
Makanya gw lebih percaya Sam altman   T tampa embel","gw ikut tuh  gw percaya sam altman orang baik menglotorkan dana  triliun dgn cuma  
orang indonesia yang katanya hartanya triliunan malah sering nyushin
pejabatnya malah sering poya poaya didepan orang susah
 apalagi sekarang pajak naik  gw beli ayam goreng distasiun harganya rb ko jadi rb katanya ama pajak kalo dikali jt orang berpa
makanya gw lebih percaya sam altman   t tampa embel",gue ikut tuh gue percaya sama altman orang baik menglotorkan dana triliun dengan cuma orang indonesia yang katanya hartanya triliunan malah sering nyushin pejabatnya malah sering poya poaya didepan orang susah apalagi sekarang pajak naik gue beli ayam goreng distasiun harganya ribu kok jadi ribu katanya sama pajak kalau dikali juta orang berpa makanya gue lebih percaya sama altman t tampa embel,"['gue', 'ikut', 'tuh', 'gue', 'percaya', 'sama', 'altman', 'orang', 'baik', 'menglotorkan', 'dana', 'triliun', 'dengan', 'cuma', 'orang', 'indonesia', 'yang', 'katanya', 'hartanya', 'triliunan', 'malah', 'sering', 'nyushin', 'pejabatnya', 'malah', 'sering', 'poya', 'poaya', 'didepan', 'orang', 'susah', 'apalagi', 'sekarang', 'pajak', 'naik', 'gue', 'beli', 'ayam', 'goreng', 'distasiun', 'harganya', 'ribu', 'kok', 'jadi', 'ribu', 'katanya', 'sama', 'pajak', 'kalau', 'dikali', 'juta', 'orang', 'berpa', 'makanya', 'gue', 'lebih', 'percaya', 'sama', 'altman', 't', 'tampa', 'embel']","['gue', 'tuh', 'gue', 'percaya', 'altman', 'orang', 'menglotorkan', 'dana', 'triliun', 'orang', 'indonesia', 'hartanya', 'triliunan', 'nyushin', 'pejabatnya', 'poya', 'poaya', 'didepan', 'orang', 'susah', 'pajak', 'gue', 'beli', 'ayam', 'goreng', 'distasiun', 'harganya', 'ribu', 'ribu', 'pajak', 'dikali', 'juta', 'orang', 'berpa', 'gue', 'percaya', 'altman', 't', 'tampa', 'embel']",gue tuh gue percaya altman orang menglotorkan dana triliun orang indonesia harta triliun nyushin jabat poya poaya depan orang susah pajak gue beli ayam goreng stasiun harga ribu ribu pajak kali juta orang berpa gue percaya altman t tampa embel
"Lebay gak berkwalitas berita rendah 
Tempat usaha hiburan malam sedia fasilitas narkoba milik Tiongkok sudah tdk ada lg di DKI Jakarta bila ada maka jendral yg bertugas di wilayah tersebut siap di ambil kornea mata karna tdk bisa melihat adanya peredaran narkoba yg sudah puluhan tahun beroperasi 😂😂😂","Lebay gak berkwalitas berita rendah 
Tempat usaha hiburan malam sedia fasilitas narkoba milik Tiongkok sudah tdk ada lg di DKI Jakarta bila ada maka jendral yg bertugas di wilayah tersebut siap di ambil kornea mata karna tdk bisa melihat adanya peredaran narkoba yg sudah puluhan tahun beroperasi ","lebay gak berkwalitas berita rendah 
tempat usaha hiburan malam sedia fasilitas narkoba milik tiongkok sudah tdk ada lg di dki jakarta bila ada maka jendral yg bertugas di wilayah tersebut siap di ambil kornea mata karna tdk bisa melihat adanya peredaran narkoba yg sudah puluhan tahun beroperasi ",lebay tidak berkwalitas berita rendah tempat usaha hiburan malam sedia fasilitas narkoba milik tiongkok sudah tidak ada lagi di dki jakarta bila ada maka jenderal yang bertugas di wilayah tersebut siap di ambil kornea mata karena tidak bisa melihat adanya peredaran narkoba yang sudah puluhan tahun beroperasi,"['lebay', 'tidak', 'berkwalitas', 'berita', 'rendah', 'tempat', 'usaha', 'hiburan', 'malam', 'sedia', 'fasilitas', 'narkoba', 'milik', 'tiongkok', 'sudah', 'tidak', 'ada', 'lagi', 'di', 'dki', 'jakarta', 'bila', 'ada', 'maka', 'jenderal', 'yang', 'bertugas', 'di', 'wilayah', 'tersebut', 'siap', 'di', 'ambil', 'kornea', 'mata', 'karena', 'tidak', 'bisa', 'melihat', 'adanya', 'peredaran', 'narkoba', 'yang', 'sudah', 'puluhan', 'tahun', 'beroperasi']","['lebay', 'berkwalitas', 'berita', 'rendah', 'usaha', 'hiburan', 'malam', 'sedia', 'fasilitas', 'narkoba', 'milik', 'tiongkok', 'dki', 'jakarta', 'jenderal', 'bertugas', 'wilayah', 'ambil', 'kornea', 'mata', 'peredaran', 'narkoba', 'puluhan', 'beroperasi']",lebay berkwalitas berita rendah usaha hibur malam sedia fasilitas narkoba milik tiongkok dki jakarta jenderal tugas wilayah ambil kornea mata edar narkoba puluh operasi
Metro tv mau bangkrut  mau minta jatah sm world 😅,Metro tv mau bangkrut  mau minta jatah sm world ,metro tv mau bangkrut  mau minta jatah sm world ,metro tv mau bangkrut mau meminta jatah sama world,"['metro', 'tv', 'mau', 'bangkrut', 'mau', 'meminta', 'jatah', 'sama', 'world']","['metro', 'tv', 'bangkrut', 'jatah', 'world']",metro tv bangkrut jatah world
Indonesia Emas 🤣🤣🤣,Indonesia Emas ,indonesia emas ,indonesia emas,"['indonesia', 'emas']","['indonesia', 'emas']",indonesia emas
Siapa atau apa bukti yang dapat menjamin bahwa data retina mata itu akan di hapus oleh pihak perusahaan tersebut ? sedangkan orang awam mayoritas tidak memahami tentang system yg mereka buat n mereka gunakan (bertanya dengan nada lembut karena tidak faham jg),Siapa atau apa bukti yang dapat menjamin bahwa data retina mata itu akan di hapus oleh pihak perusahaan tersebut  sedangkan orang awam mayoritas tidak memahami tentang system yg mereka buat n mereka gunakan bertanya dengan nada lembut karena tidak faham jg,siapa atau apa bukti yang dapat menjamin bahwa data retina mata itu akan di hapus oleh pihak perusahaan tersebut  sedangkan orang awam mayoritas tidak memahami tentang system yg mereka buat n mereka gunakan bertanya dengan nada lembut karena tidak faham jg,siapa atau apa bukti yang dapat menjamin bahwa data retina mata itu akan di hapus oleh pihak perusahaan tersebut sedangkan orang awam mayoritas tidak memahami tentang system yang mereka buat n mereka gunakan bertanya dengan nada lembut karena tidak faham juga,"['siapa', 'atau', 'apa', 'bukti', 'yang', 'dapat', 'menjamin', 'bahwa', 'data', 'retina', 'mata', 'itu', 'akan', 'di', 'hapus', 'oleh', 'pihak', 'perusahaan', 'tersebut', 'sedangkan', 'orang', 'awam', 'mayoritas', 'tidak', 'memahami', 'tentang', 'system', 'yang', 'mereka', 'buat', 'n', 'mereka', 'gunakan', 'bertanya', 'dengan', 'nada', 'lembut', 'karena', 'tidak', 'faham', 'juga']","['bukti', 'menjamin', 'data', 'retina', 'mata', 'hapus', 'perusahaan', 'orang', 'awam', 'mayoritas', 'memahami', 'system', 'n', 'nada', 'lembut', 'faham']",bukti jamin data retina mata hapus usaha orang awam mayoritas paham system n nada lembut faham
Knapa stelah viral dibekukan bukan pas mau buka gimna ni pejabat kominfo parah,Knapa stelah viral dibekukan bukan pas mau buka gimna ni pejabat kominfo parah,knapa stelah viral dibekukan bukan pas mau buka gimna ni pejabat kominfo parah,knapa setelah viral dibekukan bukan pas mau buka bagaimana nih pejabat kominfo parah,"['knapa', 'setelah', 'viral', 'dibekukan', 'bukan', 'pas', 'mau', 'buka', 'bagaimana', 'nih', 'pejabat', 'kominfo', 'parah']","['knapa', 'viral', 'dibekukan', 'pas', 'buka', 'nih', 'pejabat', 'kominfo', 'parah']",knapa viral beku pas buka nih jabat kominfo parah
Ingin sekali mencela negara ini....saya sampai saat ini hidup susah....nyari kerja susah....,Ingin sekali mencela negara inisaya sampai saat ini hidup susahnyari kerja susah,ingin sekali mencela negara inisaya sampai saat ini hidup susahnyari kerja susah,ingin sekali mencela negara inisaya sampai saat ini hidup susahnyari kerja susah,"['ingin', 'sekali', 'mencela', 'negara', 'inisaya', 'sampai', 'saat', 'ini', 'hidup', 'susahnyari', 'kerja', 'susah']","['mencela', 'negara', 'inisaya', 'hidup', 'susahnyari', 'kerja', 'susah']",cela negara inisaya hidup susahnyari kerja susah
"Pemerintah kita itu BUTA Teknologi.
🤣🤣🤣","Pemerintah kita itu BUTA Teknologi
","pemerintah kita itu buta teknologi
",pemerintah kita itu buta teknologi,"['pemerintah', 'kita', 'itu', 'buta', 'teknologi']","['pemerintah', 'buta', 'teknologi']",perintah buta teknologi
"See., demi duit, jual diri jual data jual suara., konoha emang kera🐒s 😢 yg penting bisa makan gitu kan konsepnya., sanking miskinnya.,",See demi duit jual diri jual data jual suara konoha emang keras  yg penting bisa makan gitu kan konsepnya sanking miskinnya,see demi duit jual diri jual data jual suara konoha emang keras  yg penting bisa makan gitu kan konsepnya sanking miskinnya,sih demi duit jual diri jual data jual suara konoha memang keras yang penting bisa makan begitu kan konsepnya sanking miskinnya,"['sih', 'demi', 'duit', 'jual', 'diri', 'jual', 'data', 'jual', 'suara', 'konoha', 'memang', 'keras', 'yang', 'penting', 'bisa', 'makan', 'begitu', 'kan', 'konsepnya', 'sanking', 'miskinnya']","['sih', 'duit', 'jual', 'jual', 'data', 'jual', 'suara', 'konoha', 'keras', 'makan', 'konsepnya', 'sanking', 'miskinnya']",sih duit jual jual data jual suara konoha keras makan konsep sanking miskin
"Habis ini data pribadi kebobolan pada nangis,,,,,,,",Habis ini data pribadi kebobolan pada nangis,habis ini data pribadi kebobolan pada nangis,habis ini data pribadi kebobolan pada menangis,"['habis', 'ini', 'data', 'pribadi', 'kebobolan', 'pada', 'menangis']","['habis', 'data', 'pribadi', 'kebobolan', 'menangis']",habis data pribadi bobol menang
Udah kaya di film2 fiksi holywod,Udah kaya di film fiksi holywod,udah kaya di film fiksi holywod,sudah kayak di film fiksi holywod,"['sudah', 'kayak', 'di', 'film', 'fiksi', 'holywod']","['kayak', 'film', 'fiksi', 'holywod']",kayak film fiksi holywod
